Cidade_estacao;Codigo_estacao;Latitude_estacao;Longitude_estacao;0.5;0.5;0.5
 IRAI;83881;-27.189451;-53.253338;64-10;64-10;64-10
 CHAPECO;83883;-27.135665;-52.662931;58-10;58-10;58-10
 CAMPOS NOVOS;83887;-27.38388888;-51.21611111;58-10;58-10;58-10
 LAGES;83891;-27.802108;-50.335567;58-10;58-10;58-10
 FLORIANOPOLIS;83897;-27.6025;-48.62027777;58-10;58-10;58-10
 SAO LUIZ GONZAGA;83907;-28.41722221;-54.9625;64-10;64-10;64-10
 CRUZ ALTA;83912;-28.6261111;-53.61388888;58-10;58-10;64-10
 PASSO FUNDO;83914;-28.2286111;-52.41194444;58-10;58-10;58-10
 LAGOA VERMELHA;83916;-28.22249999;-51.51277777;58-10;58-10;58-10
 BOM JESUS;83919;-28.66944443;-50.44194444;58-10;58-10;58-10
 SAO JOAQUIM;83920;-28.275639;-49.93464;52-10;52-10;52-10
 URUSSANGA;83923;-28.532537;-49.31521;58-10;64-10;64-10
 URUGUAIA;83927;-29.83999999;-57.08194443;58-10;64-10;64-10
 IBIRUBA;83932;-28.653476;-53.111882;58-10;58-10;58-10
 SANTA MARIA;83936;-29.724796;-53.720465;58-10;64-10;64-10
 BENTO GONCALVES;83941;-29.164588;-51.534104;58-10;58-10;58-10
 CAXIAS DO SUL;83942;-29.196242;-51.186449;58-10;58-10;58-10
 CAMBARA DO SUL;83946;-29.049139;-50.149631;52-10;58-10;58-10
 TORRES;83948;-29.35027777;-49.71666666;58-10;58-10;58-10
 SANTA DO LIVRAMENTO;83953;-30.842617;-55.613073;58-10;64-10;64-10
 TRIUNFO;83954;-29.869757;-51.379201;58-10;64-10;64-10
 CAMPO BOM;83961;-29.677684;-51.049914;64-10;64-10;64-10
 ENCRUZILHADA DO SUL;83964;-30.54305555;-52.52472221;58-10;58-10;64-10
 PORTO ALEGRE;83967;-30.05361111;-51.17472221;58-10;64-10;64-10
 TEUTONIA;83972;-29.448748;-51.799035;58-10;64-10;64-10
 BAGE;83980;-31.30555555;-54.11944443;58-10;58-10;64-10
 PELOTAS;83985;-31.802527;-52.406868;58-10;58-10;58-10
 RIO GRANDE;83995;-32.078809;-52.167725;58-10;58-10;58-10
